BAHASA TUNJUNG,TURUNAN KATA,BAHASA INDONESIA,BAHASA INGGRIS,JENIS KATA,KALIMAT BAHASA TUNJUNG,KALIMAT BAHASA INDONESIA,KALIMAT BAHASA INGGRIS ,DIALEK
babatn,,harta,"wealth, treasure",n,eraq akiq babant dirant dai lagant,Mereka minta harta harus emas semua,They ask that all the wealth must be gold,
badak,,badak,rhinoceros,n,epeen nyaa luluq badak?,sebesar mana binatang badak,how big is a rhinoceros?,
badatn,,badan,body,n,kepai lebii rasatn badatn tih,capek sekali rasa badan ini,my body feels very tired,
badek,,badik,"dagger, badik",n,didinya koi meliq badek joq?,di mana kamu beli badik itu?,where did you buy that badik,
bagiq,,bagian,part,n,tih babatn non hagiq koi,ini harta benda bagian kamu,this property belongs to you,
bahacar,,belajar,study,v ,kamin kaat bahacar,Kami pergi belajar,we went to study,
bahapm,,emping,emping (crispy cracker made fron melinjo muts),n,ewah kumatn bahapm tenyampur dang gulaq bohokng,mau makan emping di campur dengan gula merah,I feel like eating emping with palm sugar,
bahat,,berat,heavy,a ,bahaat lebii karung parai tih,berat sekali karung padi ini,This rice sack is extremely heavy,
bahatn,,buat; membuat,"made, create",v ,ayok taai bahatn jajaq non kebeleh yaq bekajuqngatn        ,ayok kita membuat kue untuk mereka yang bekerja,let's bake a cake for those who work,
bahau,,lari,run,v ,,,,
bahayaq,,buaya,crocodile,n,ajaq ah bahayaq ke?,besar sekalikah buayanya?,How big is the crocodile?,
bahayaq,bahayaq badas,buaya moncong pendek,crocodile,n,didinya koi kiteq baq bahayaq badas ?,di mana kamu melihat buaya moncong pendek?,where did you see the short-snouted crocodile?,
bahuq,,pundak; bahu,shoulder,n,perah lebi bahuuq akui nemiiq saq joq nyi,sakit sekali pundak saya gendong dia tadi,My shoulders really hurt from carrying him earlier,
bajik,,baik; bagus,"good, fine, virtous",a,ngeringaq-ngeringaq coba nyenpening aku baq memeq ritaq yaq bajik uas,saudara-saudara coba dengarkan aku ada bawa berita yang sangat baik,"Brothers and sisters, listen, I have very good news.",
bakar,,sesuatu yang belum selesai; bakal,"something unfinished/something incomplete, would be",n,,,,
bakar,,belum jadi,"not yet fixed, unfinished",a,,,,
bakar,bakar koar,jelek,bad,a,nyama yaq wee beruk neq bakar koar lebi,kenapa mata monyet itu jelek sekali,why are monkey eyes so bad,
bakeq,,bakul punggung; keranjang,"container; back basket, load-carrying basket",n,anyatn nyama bakeq joq nyi?,Bakul punggung itu tempat untuk apa?,What is the back basket used for?,
bakir nagaaq,,piring tua,old plate,n,,,,
bakit,,tombak ikan bermata berkait; tombak berkait,barbed fish spear,n,,,,
bakjangan,,kecelakaan,accident,n,,,,
bakoi,,nihil; hampa,fail to get something,v,Kaat meriwih taloh bakoi.,Pergi memancing tetapi tidak dapat apa-apa.,Go fishing but get nothing.,
bakoi,bakoi baoi,tidak memperoleh apa-apa,"get nothing, receive nothing",v,bakoi baoi was kamiq nyuar kelapm noo,kami tidak mendapat apa-apa saat berburu tadi malam,We got nothing when we went hunting last night,
bakooq,,tembakau; Nicotian tabacun,tobacco,n,bakooq ulih agi tumuq diq Kalimantan,tembakau bisa juga tumbuh di Kalimantan,tobacco can also grow in Kalimantan,
bakukng,,bakung; Crinum asiaticum,"crinum, crinum lily",n,,,,
bakuuk,,sembab; bengkak (mata),"puffy, swollen",a,unya pekangi koi sampai bi ulih wee koi bakuuk joq?,siapa yang membuatmu menangis kamu sampai mata kamu sembab?,Who made you cry that your eyes got swollen?,
balaq,,berburu kepala manusia; peperangan,"a customary ritual of the Dayak in the past, associated with headhunting",n,,,,
balai,,sanggar; saung sesajen,room for offerings,n,,,,
balakng,,belalang,grasshopper,n,ewah pelau balakng aleq,mau cari belalang dulu,I’m going to catch grasshoppers first,
balakng,balakng elo,penyengat,stinger,n,,,,
balar,,nama kayu,"type of wood, wood species",n,,,,
balikng,,bungkusan,"package, bundle",n,Kadiq kanan lam balikng jooq!,Habiskan nasi dalam bungkusan itu!,Finish the rice in that packet!,
balik,,kembali,"back, return",v,Ewah ja umaq teloh balik sioon ucatn.,Mau ke ladang tapi tidak jadi karena hujan.,I wanted to go to the fields but couldn't because it was raining.,
balik,balik silai,orang yang berbalik badan (saat berbaring),someone rolling over in bed,n,sidaq koi balik silai aleq maai akui ulih neau,Coba kamu berbalik dulu supaya aku bisa melihatmu,Please roll over so I can see you,
baloq,,bambu,bamboo,n,kekat nenoq baloq aleq anyatn nengaq tara,mau ambil bambu dulu buat masak lemang (beras ketan yang di masak didalam bambu),I want to get some bamboo first to cook lemang (glutinous rice cooked inside bamboo),
baluq,,janda atau duda (cerai mati),widow; widower,n,,,,
baluq,baluq ranaq,berdukacita; menjanda atau menduda,"to mourn, to grieve; become a widow or widower",v,,,,
baluq,baluq sagaq,duda,widow,n,Riki joq soq baluq sagaq,Riki itu sudah Duda,Riki is already a widower,
baluq,baluq wanaq,janda,widower,n,Gebi joq soq baluq wanaq,Gebi itu sudah janda,Gebi is already a widow,
bamerokakng,,badani,bodily / physical,n,,,,
bamukng,,perahu jenazah; perahu arwah,spirit boat,n,,,,
ban,,ikat pinggang,belt,n,,,,
bana,,lambat,slow,a,calatn bi togaq bana lebii,Kenapa jalannya bisa lambat sekali?,Why is the walking so slow?,
banat,,gedebok,"banana stem, banana trunk, banana stalk",n,,,,
banar,,latihan memukul dengan rotan untuk permainan bebenpas,practice hitting with a rattan stick for the gane of bebenpas,v,,,,
banar,,bandar,dealer,n,,,,
banca,,umpama; ibarat,for example; like; as if,n,banca ogeq uhaq yaq paling terunaq,"Ibaratnya, seperti dia saja yang paling ganteng",It’s as if he were the most handsome one.,
bancaq,,bangsa,nation,n,,,,
bancaatn,,menyerupai,"resemble, look like, similar to, a kind to",v,lakuun tuhiq jooq bancaatn beruk.,Kelakuan anak itu seperti monyet.,the child behaves like a monkey,
bancat,,sumpah serapah; bangsat,"curse, swear word; bastard, scoundrel, jerk",n,bancat koi tih!,Kamu bangsat!,"bastard!, jerk!, atau scumbag!",
banci,,jijik,disgusted ,a,banci lebii akui kiteq umatn eraq joq,Aku sangat jijik melihat makanan mereka itu,I feel very disgusted when I see their food,
banci,banci bencos,sangat kotor,very dirty,a,,,,
banci,,kuntilanak,"a ghost that is said to be female, likes to take small children or disturb women who have just given birth",n,akui kiteq nyeluq banci didijoq nyii!,Aku tadi melihat hantu kuntilanak di situ,I just saw a kuntilanak ghost over there!,
bancukng,,bibir; mulut,lip; mouth,n,bancukng joq adui begahaq dadaq ogeq,Mulut itu jangan berbicara sembarangan,"Watch your mouth, don’t speak carelessly",
bancukng,,monyong,"smout , protruding mouth",n,neau bancukng boleq joq,lihat moncong babi itu,Look at that pig’s snout,
bancukng,,geraham (hewan),molars,n,neau bancukng kerewaau joq ajaq lebii,lihat geraham kerbau itu besar sekali,"Look, that buffalo’s molars are very big",
baner,,akar pohon besar yang muncul di atas tanah; banir; akar papan,large tree roots that appear above the ground,n,sidaq koi neau baner kajuq joq ewah serepeeq dang unuq mersiaq,coba kamu lihat akar papan pohon itu hampir setinggi badan manusia,"Look, the buttress root of that tree is almost as tall as a human’s body",
bangei,,ikan teler,"fish stunned in the river, stunned fishes",n,,,,
bangkakng,,lahan baru yang tidak dibakar,newly cleared land without burning,n,,,,
bangkar,,gelang kaki laki-laki,men's anklets,n,,,,
bangkai,,"jenazah, mayat; bangkai binatang","corpse, corpse; animal carcasses",n,entetn menya bangkai kee nyii,dibawa kemana jenazahnya?,where is the corpse being taken?,
bangkit,,istilah dalam judi tongkok,terms in Tongkok gambling,n,,,,
bangko,,bangku,bench,n,dacukng di bangko tih digai,Kita berdua duduk di bangku ini,We both sit on this bench,
bangkukng,,gusi,gum,n,kemukng unah bangkukng kesikng akui tih,bengkak lagi gusi gigiku,My gums are swollen again,
bangkut,,canggah,the base of a wooden branch taken for the handle of a pickaxe,n,,,,
bani,,jenis taruhan: istilah dalam judi tongkok,types of placement in gambling games; terms in Tongkok/traditional gambling,n,,,,
bantir,,akil balig,"grown-up, legally responsible",a,,,,
bantut,,tidak meledak (permainan anak-anak),non-explosive (especially for children's games),v,meriapm betui eri bantut.,meriam petung Eri tidak meledak,Eri's petung cannon did not explode,
banyah,,besar,"big, great",a,,,,
baokng,,baung; Mystus spp,catfish,n,kamiq meriwih ulih baokng hajaq,kami memancing mendapat baung besar,we fished for big baung fish,
baokng,baokng permaq,baung hitam,catfish,n,,,,
baokng,baokng putiq,baung putih,catfish,n,,,,
baotn,,"bau (bumbu, makanan)","smell, odor",v,"tekarak baotn metuq pija tengencaq, nyaman lebii.","Tercium bau ikan asin yang sedang dimasak, enak sekali","I can smell salted fish being cooked, it’s really tasty",
baoi,,bau (tidak kasat mata),"an unseen smell, a smell before anything is visible",n,baq baooi taitn manuuq tih,ada bau kotoran ayam,There is the smell of chicken droppings,
baoq,,"bau, aroma yang tidak sedap","smell, unpleasant aroma",n,"bebaooq lebii unuq koi, sidaq menu aleq","bau sekali badan kamu, coba mandi dulu","Your body smells really bad, try taking a bath first",
bapak,,ayah/bapak,father,n,masalah jo temencarang uhaaq mamak dang bapak,masalah itu dibicarakan ibu dan bapak,the problen was discussed by mother and father,
baq,,ada,exist,v,ngeringaq-ngeringaq coba nyenpening aku baq nemeq ritaq yaq bajik uas,saudara-saudara coba dengarkan aku ada bawa berita yang sangat baik,"brothers and sisters, listen, i have very good news.",
barakng,,bakul,basket,n,akuq neq barakng diq mooq ongaat diraaq tunyet,Saya ambil bakul di atas jendela harus jinjit.,I had to stand on tiptoe to reach the basket on the window,
baras,,batu koral,coral stone,n,,,,
bariq,,"basi, menyangkut makanan",spoiled,a,soq bariq namiit joq,sudah basi nasi itu,That rice is spoiled,
barukng,,nama asli kampung Barong,the original name of Barong Village,n,unya yaq diapm di barukng?,siapa yang tinggal di barukng?,Who lives in Barong,
barutn,,kain kulit kayu,bark cloth,n,,,,
basan,,saat,"time, moment",n,,,,
basukng,,padi lokal umur panjang,Local rice with a long growing period,n,taotn tih taai molaq basukng joh!,tahun ini kita tanam padi basukng yah,"This year we are planting Basukng rice, okay?",
batakng,,ladang tinggal; ladang sekunder,fallow swidden field,n,,,,
bataq,,bintil; bentol,welt / bump / hive,n,,,,
batak,,keluarga,family,n,batak kapm ijoq nyi yaq?,keluarga kalian itu tadi ya?,Was that your family?,
batokng,,jenis rumput,types of grass,n,,,,
batukng,,belantik,a traditional snare trap that is active (set and ready to catch),n,,,,
batukng bentuas,,bujur sangkar,a square shape,n,,,,
batun,,racahan; irisan,"Slices or pieces of meat, palm shoot (umbut), or cassava in vegetable soup/dish",n,tabeq aleq koi ngaot batun kee ngaq jilapm piring akui tih!,permisi dulu kamu ambil potongan daging itu buat ke dalam piring aku ini!,"Excuse me, take that piece of meat and put it on my plate!",
batun burai,,pengeras dalam orang membayar denda adat,supplementary fine / ritual surcharge / additional customary payment / appeasement payment.,n,,,,
batuq,,batu,stone,n,,,,
batuq,batuq pemasaq,batu asahan,special stone used to sharpen knives and machetes,n,,,,
batuq,batuq sintuq,tempat dewa selimat,Sacred place of the Selimat deity,n,,,,
batuq,batuq tasaq,batu halus,Fine stone,n,,,,
batuq,batuq tulih,batu tulis,slate,n,,,,
batuq,batuq uhuui,batu bara,coal,n,,,,
batuq,batuq uluuq,famili burung enggang,the hornbill family (Bucerotidae),n,,,,
baut,,baut,screw,n,,,,
bauq,,bahu,shoulder,n,,,,
bawakng,,rumpun,"clump, cluster",n,bawakng lutuq jooq rebook was.,rumpun bambu itu tumbuh subur,that clusters  of bamboo is growing well,
bawakng,bawakng balok,rumpun bambu balok,Clump of giant bamboo,n,,,,
bawakng,bawakng bateteq,rumpun batete,clump/cluster of batete plants,n,,,,
bawakng,bawakng baweng,rumpun bawang,Clump of onions,n,,,,
bawakng,bawakng betui,rumpun petung,Clump of petung trees,n,,,,
bawakng,bawakng bowoi,rumpun bowoi,,n,,,,
bawakng,bawakng cahai,rumpun kunyit,Clump of turmeric plants,n,,,,
bawakng,bawakng cekur,rumpun kencur,Clump of kencur plants,n,,,,
bawakng,bawakng gei,rumpun rotan,Clump of rattan plants,n,,,,
bawakng,bawakng jelooq,rumpun pisang,Clump of banana plants,n,,,,
bawakng,bawakng lajaaq,rumpun lengkuas,Clump of galangal plants,n,,,,
bawakng,bawakng lejaq,rumpun jahe,Clump of ginger plants,n,,,,
bawakng,bawakng lutuq,rumpun bambu,Clump of bamboo plants,n,,,,
bawakng,bawakng serei,rumpun serei,Clump of lemongrass plants,n,,,,
bawakng,bawakng uruq,rumpun rumput,Clump of grass,n,,,,
bawang,,bawang,onion,n,adi regatn bawang watu tih?,berapa harga bawang sekarang ini?,what is the price of onions now?,
bawang,bawang alau,bawang rambut,hairy shallot (Allium sp.),n,lonya caraq ngencaaq bawang alau?,bagaimana cara masak bawang rambut?,how to cook hairy shallot?,
bawang,bawang beromotn,bawang berlian ,Dayak onion (Eleutherine palmifolia),n,lonya caraq molaq bawang beromotn neq?,bagaiman cara menanam bawang berlian ini?,how to plant diamond onions?,
bawang,bawang bohokng,bawang merah,shallot,n,didapeq unya koi meliq bawang bohokng joq?,dirumah siapa kamu membeli bawang merah itu?,Whose house did you buy the shallot from?,
bawang,bawang putiq,bawang putih,garlic,n,unya nareq bawang putiq joq ji koi?,siapa yang kasih bawang putih itu ke kamu?,Who gave you that garlic?,
bayaq,,ikut; ikut serta; bersama,follow; participate; join,v,Encun kayooq bayaq mee ja pekan,Cucuku ikut ibunya ke pasar,my grandchild went with her mother to the market,
bayam,,bayam,spinach,n,adi regatn bayam neq?,berapa harga bayam ini?,How much does this spinach cost?,
bayaq,,saat; ketika,when / as / while / at the time (that),conj,Mee ngeloloh anakke bayaq gantiq sapai,Ibu menelanjangi anaknya saat ganti pakaian,the mother undressed her child to change clothes,
bayoh apui,,bunga api,sparks,n,,,,
beapm,,dagu; rahang,chin,n,,,,
bebek,,"bebek, entog",muscovy duck,n,unya unah yaq baq bebek neq?,siapa lagi yang punya bebek itu?,who else has that duck?,
bebeneq,,gong,gong,n,,,,
beber,,lipstik; gincu,lipstick,n,,,,
bebue,,ninabobo (anak),lullaby ,n,,,,
beburai,,berpupur; berbedak (dingin),to apply cooling powder,v,eraq waweeq daraaq neeq daai lengih beburai.,wanita-wanita cantik itu semuanya berbedak.,Those beautiful women are all wearing powder,
bedaai,,mandul (binatang),"sterile, infertile, barren",n,,,,
beekng,,barang bekas,"old stuffs, secondhands",n,Nebeq saq beekng loneeq!,Buang saja barang bekas begini!,just throw away old stuff like this!,
begamat,,pelan-pelan,slowly,adv,,,,
behacar,,latihan,practicing,v,eraq tuhiq waweeq behacar begantar,anak-anak perempuan latihan menari gantar,The girls are practicing the Gantar dance,
beheq,,kambing,goat,n,nyah sooq kapm kiteq lengan kajuq bukit krewau beheq dang kokoq,sudah kalian lihat pohon kayu bukit kerbau kambing dan anjing,"have you seen the trees, hills, buffalo, goats and dogs?",
beimpas,,mengikuti permainan tradisional,to play traditional games,v,,,,
bek,,tas,bag,n,,,,
bekadoh,,perlente; berias; berdandan,"dress-up, dapper, stylish, fashionable",a,,,,
bekaraq,,bekantan; kera belanda; monyet belanda; Nasalis larvatus,proboscis monkey; Nasalis larvatus,n,ulih bekaraaq dilapm talutn,dapat monyet dari dalam hutan,got a monkey from the forest,
bekerinah,,hebat,"great, fabulous, superb",adj,,,,
bekook,,"kodok, katak",frog,noun,adiq was bekook lam parit,banyak sekali kodok dalam parit,There are so many frogs in the ditch,
bekooq,,menyayangkan,sorry/regretful,v,,,,
bekuntatn,,menyiapkan upacara,to prepare a ceremony,v,,,,
belaq,,lontar,palm leaf,n,,,,
belaboh,,mengancam,"threaten, intimidate",v,adui belaboh mejoq tuaq,jangan mengancam begitu om,"Don't threaten me like that, uncle.",
belacatn,,terasi,shrimp paste,n,seseleh was sabeq tenyampur bero belacatn,enak sekali sambal di campur dengan terasi,The chili sauce mixed with shrimp paste is delicious.,
belakuq,,berselingkuh,to cheat on each other,v,regaq jooq setiah ogeq daai lengih belakuq dang ulutn bele.,mereka berdua itu sama saja sama-sama selingkuh dengan orang lain.,"They are both the same, cheating on each other with other people",
belakuq,,berperilaku,behave,v,aduui belakuq ohaai baq adat ogeq!,jangan berperilaku tidak beradat!,don't behave uncivilized!,
belalaakng,,keong; siput,snails; slugs,n,,,,
belalakng,,orang yang kurang waras,insane person,n,,,,
belamai,,tempayam; guci,"jar, crock",n,nanoe amun de belamai,menambah air di tempayam,add water to the jar/crock,
